OBS	INTRATE	INFL	PROD	UNEMPL	COMMPRI	PCE	PERSINC	HOUST					
1974:4	10.51	10.06865	1.51808	2.52044	5.88901	9.01816	-1.69255	-22.88868					
1974:5	11.31	10.70615	1.60822	2.48023	3.35946	9.63112	-1.93759	-37.06973					
1974:6	11.93	10.85973	1.44543	2.23055	1.14155	9.94325	-2.26496	-26.80213					
1974:7	12.92	11.53846	1.01031	2.24155	29.88506	9.82821	-1.97344	-38.01225					
1974:8	12.01	10.88889	0.21898	1.88295	0.00000	11.89613	-2.14167	-44.31984					
1974:9	11.34	11.94690	-0.61353	1.72757	-12.05212	9.86336	-2.78904	-38.63394					
1974:10	10.06	11.84211	-1.66330	1.31820	-18.51453	10.48517	-3.18980	-36.19559					
1974:11	9.45	12.20044	-5.37776	0.44794	-27.25410	9.03710	-3.84229	-40.48724					
1974:12	8.53	12.09503	-8.47572	-0.48440	-31.31635	9.69945	-3.46219	-36.10747					
1975:1	7.13	11.75214	-9.08949	-1.03324	-43.23190	10.26625	-2.84599	-28.87664					
1975:2	6.24	11.20507	-10.93077	-1.70598	-47.86325	11.18214	-2.03410	-48.40183					
1975:3	5.54	10.46025	-11.88410	-2.10356	-54.57447	9.88597	-1.22389	-36.14148					
1975:4	5.49	10.18711	-11.51573	-2.45082	-54.43850	9.25824	0.73009	-37.46111					
1975:5	5.22	9.25926	-12.36068	-2.44949	-50.81257	10.48361	6.61536	-21.38850					
1975:6	5.55	9.18367	-11.68301	-2.64879	-50.33860	10.66781	3.01159	-28.15598					
1975:7	6.10	9.53347	-10.73194	-2.37299	-41.37168	10.89594	0.90865	-6.83891					
1975:8	6.14	8.61723	-9.04823	-1.86215	-20.09292	9.70102	2.02987	10.33275					
1975:9	6.24	7.90514	-7.97190	-1.75675	-9.13580	10.49331	2.49054	9.91304					
1975:10	5.82	7.64706	-7.25017	-1.39134	-0.52840	10.63476	2.40424	25.60748					
1975:11	5.22	7.37864	-3.83546	-0.74239	-0.28169	12.52610	2.84709	32.55361					
1975:12	5.20	7.12909	0.89754	0.46486	-0.46368	13.57410	2.90429	35.48718					
1976:1	4.87	6.69216	3.80987	1.56410	29.75970	13.51545	3.60112	32.46124					
1976:2	4.77	6.27376	7.28389	2.46753	50.00000	11.98426	4.19122	70.13274					
1976:3	4.84	6.06061	8.54304	3.13116	74.00468	12.56297	4.42756	43.10171					
1976:4	4.82	5.84906	9.01720	3.70254	78.16901	13.09667	2.59087	38.80597					
1976:5	5.29	6.21469	9.76929	3.50809	71.80617	10.17430	-2.96421	30.15165					
1976:6	5.48	5.98131	9.02601	3.73236	82.04545	11.05821	0.54120	37.53450					
1976:7	5.31	5.55556	8.50289	3.61865	58.86792	10.54500	2.67443	14.27406					
1976:8	5.29	5.71956	8.27352	3.30374	6.54070	10.58700	2.19326	23.01587					
1976:9	5.25	5.49451	7.24371	3.44685	-4.07609	10.80212	1.91618	36.07595					
1976:10	5.02	5.46448	6.84577	3.05668	-10.88977	10.93868	1.37666	21.20536					
1976:11	4.95	5.06329	8.12801	3.29171	-1.55367	10.54731	2.34074	20.66176					
1976:12	4.65	5.03597	7.91395	3.11467	17.70186	10.93750	2.52298	36.56321					
1977:1	4.61	5.19713	5.78198	2.78450	11.68091	9.72510	1.45628	11.70446					
1977:2	4.68	6.08229	6.37315	2.75448	4.91803	11.13413	-0.03172	26.33290					
1977:3	4.69	6.42857	7.58915	2.96272	8.88291	11.04448	1.13379	45.17945					
1977:4	4.73	6.95187	7.94488	3.07345	3.82082	10.80865	1.34971	35.62724					
1977:5	5.35	6.73759	8.36953	3.50267	-2.94872	11.95449	1.44561	35.09253					
1977:6	5.39	6.70194	9.17338	3.92058	-10.23720	10.79710	1.85234	26.62207					
1977:7	5.42	6.66667	8.71866	4.13466	-18.05226	11.37922	1.97983	46.89507					
1977:8	5.90	6.63176	7.99398	4.22814	-3.95634	11.02973	2.23540	30.32258					
1977:9	6.14	6.42361	8.18618	4.55615	-7.36544	10.75636	2.76771	13.31395					
1977:10	6.47	6.39033	8.40187	4.86703	-3.87481	11.42857	3.66861	25.35298					
1977:11	6.51	6.71256	6.90698	4.90547	-11.04735	11.60527	3.59269	24.43632					
1977:12	6.56	6.67808	5.95613	4.92243	-11.34565	10.31217	3.73827	18.73614					
1978:1	6.70	6.81431	5.08634	4.83691	-9.31122	9.49565	3.66179	12.50819					
1978:2	6.78	6.23946	4.04169	4.88961	-3.12500	10.14833	5.16603	-10.55069					
1978:3	6.79	6.37584	4.69798	5.00055	-10.63041	11.34037	4.46866	-1.50267					
1978:4	6.89	6.50000	5.92657	5.42525	-0.12690	12.04289	4.46340	16.12051					
1978:5	7.36	7.14286	5.39442	5.38440	8.05812	12.40870	4.24901	5.27651					
1978:6	7.60	7.43802	5.34468	5.41048	14.46453	12.91163	3.75648	9.35024					
1978:7	7.81	7.73026	5.12717	5.27428	20.28986	11.50249	3.51717	1.65209					
1978:8	8.04	7.85597	5.49066	5.30491	21.30682	12.61156	3.47996	-1.18812					
1978:9	8.45	8.48287	5.28945	4.89154	32.72171	12.29382	2.93847	1.07748					
1978:10	8.96	8.92857	5.89272	4.96456	34.57364	11.92270	2.55890	-2.98727					
1978:11	9.76	8.87097	6.59459	5.01111	35.64516	11.63158	1.85503	2.54652					
1978:12	10.03	8.98876	7.05003	5.05284	25.74405	12.03614	2.02543	-4.57516					
